file,cmrdm,tm,phi,edcs,edh,edr,iaph,status
ILA-001.xml,29,858509,PH260619,,,,,auto
ILA-055.xml,87,938619,PH271136,,,,,auto
ILA-060.xml,92,846708,PH270067 PH271344,,,,,auto
ILA-067.xml,99,932247,PH270846,,,,,auto
ILA-086.xml,118,855364,PH256902,,,,iAph120402,auto
ILA-087.xml,119,855490,PH257044,,,,iAph120703,auto
ILA-105.xml,260,929591,PH281364,,,,,auto
ILA-106.xml,21,178776,PH300980,09800285,HD014914,,,auto
ILA-109.xml,23,569852,,17300647,,EDR169369,,auto
ILA-110.xml,28,863994,PH254983,,,,,auto
ILA-111.xml,122,938509,PH281222,,,,,auto
ILA-130.xml,142,931238,PH281149,,,,,auto
ILA-133.xml,145,938179,PH274129,,,,,auto
ILA-135.xml,147,932128,PH274246,,,,,auto
ILA-136.xml,148,932133,PH274272,,,,,auto
ILA-138.xml,150,932924,PH275624,,,,,auto
ILA-139.xml,151,928668,PH274112,,,,,auto
ILA-140.xml,152,932120,PH274223,,,,,auto
ILA-142.xml,154,939050,PH274497,,,,,auto
ILA-143.xml,155,938105,PH275650,,,,,auto
ILA-144.xml,156,939043,PH274457,,,,,auto
ILA-148.xml,160,176872,PH281253,16300058,HD021536,,,auto
ILA-149.xml,161,929521,PH281254,,,,,auto
ILA-150.xml,162,929522,PH281255,,,,,auto
ILA-151.xml,163,929523,PH281256,,,,,auto
ILA-152.xml,164,929524,PH281257,,,,,auto
ILA-153.xml,165,929525,PH281258,,,,,auto
ILA-154.xml,166,942692,PH281259,78300357,,,,auto
ILA-155.xml,167,942690,PH281260,,,,,auto
ILA-156.xml,168,942693,,,,,,auto
ILA-157.xml,169,929526,PH281262,,,,,auto
ILA-158.xml,170,929527,PH281263,,,,,auto
ILA-159.xml,171,929528,PH281264,,,,,auto
ILA-160.xml,172,929529,PH281265,,,,,auto
ILA-161.xml,173,929530,PH281266,,,,,auto
ILA-162.xml,174,929531,PH281267,78300358,,,,auto
