dicitura,occorrenze,markup_interno,schede_ILA
"Lane, II, p. 47",7,,ILA-236 ILA-237 ILA-238 ILA-239 ILA-240 ILA-241 ILA-242
"Robert, REG, LXXVI, 1963, p. 168, no. 227",5,,ILA-026 ILA-036 ILA-037 ILA-039 ILA-043
"Daremberg-Saglio, III, ii, p. 1397",4,,ILA-094 ILA-096 ILA-098 ILA-107
"Drexler, op. cit., col. 2725",3,,ILA-111 ILA-133 ILA-134
"K-P, II Reise, p. 105",2,,ILA-012 ILA-038
"P. Foucart, BCH, IV, 1880, p. 129",2,,ILA-025 ILA-098
"Robert, REG, LXXVI, 1963, p. 168, no. 233",2,,ILA-040 ILA-041
"Lane, I, p. 52, no. A11",2,,ILA-040 ILA-043
"Drexler, op. cit., col. 2709",2,,ILA-055 ILA-056
"Drexler, op. cit., col. 2711",2,,ILA-059 ILA-060
"Lane, I, p. 23, no. 5",2,,ILA-060 ILA-061
"Perdrizet, op. cit., p. 63",2,,ILA-070 ILA-071
"Drexler, loc. cit.",2,,ILA-107 ILA-108
"Drexler, op. cit., col. 2720",2,,ILA-120 ILA-124
"Lane, I, loc. cit.",2,,ILA-245 ILA-246
"Drexler, op. cit., col. 2730",2,,ILA-284 ILA-287
"Drexler, op. cit., col. 2699",2,,ILA-285 ILA-286
"Perdrizet, op. cit., p. 76, note 1",2,,ILA-285 ILA-286
"Lane, CMRDM I 29",1,,ILA-001
"Kern, Wochenschrift für Klassische Philologie, 1894, col. 907",1,,ILA-001
"Kern, Archäologischer Anzeiger, 1894, p. 124",1,,ILA-001
"Lane, I, p. 14, no. 2",1,,ILA-001
"O. Kern, Die Inschriften von Magnesia am Mäander, Berlin, 1900, pp. 143-4, no. 227",1,,ILA-001
"Lane, CMRDM I 30",1,,ILA-002
"Lane, I, p. 14, no. 3",1,,ILA-002
"Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung, vol. 37, 1912, p. 285, n. 10.",1,,ILA-002
"Lane, CMRDM I 31",1,,ILA-003
"Mouseion kai Bibliotheke, III, 1-2, 1878-80, p. 167, no. τλε'",1,,ILA-003
"Drexler, op. cit., col. 2700, no. 1",1,,ILA-003
"Perdrizet, op. cit., p. 58, no. 4",1,,ILA-003
"J. Keil and A. von Premerstein, Bericht über eine Zweite Reise in Lydien (K-P, II Reise), p. 95, col. 2",1,,ILA-003
"Lane, I, p. 15, Lydia no. 1",1,,ILA-003
"Lane, CMRDM I 32",1,,ILA-004
"Mouseion kai Bibliotheke, III, 1-2, 1878-80, p. 167, no. τλθ'",1,,ILA-004
"Drexler, op. cit., col. 2700, no. 2",1,,ILA-004
"Perdrizet, op. cit., p. 58, no. 3",1,,ILA-004
"Lane, I, Lydia, no. 2",1,,ILA-004
"Lane, CMRDM I 33",1,,ILA-005
"CIG, (1828-77), 3448",1,,ILA-005
"G. Keppel, Narrative of a journey across the Balcan, London, 1831, II, p. 357, no. 1",1,,ILA-005
"P. LeBas and W.H. Waddington, Voyage Archéologique en Grèce et en Asie Mineure, Paris ca. 1870, III, i, p. 217, no. 680",1,,ILA-005
"Drexler, col. 2700, no. 4",1,,ILA-005
"Lane, I, p. 15, Lydia, no. 4",1,,ILA-005
"Lane, CMRDM I 34",1,,ILA-006
"LeBas-Waddington, op. cit., III, i, p. 214-15, no. 678",1,,ILA-006
"Drexler, op. cit., col. 2702, no. 12",1,,ILA-006
"W. Ramsay, BCH, XXII, 1898, p. 239",1,,ILA-006
"F. Poland, Geschichte des griechischen Vereinswesens, Leipzig, 1909, p. 218",1,,ILA-006
"K-P, II Reise, p. 94, no. 183",1,,ILA-006
"Lane, I, p. 16, no. 10",1,,ILA-006
"Lane, CMRDM I 35",1,,ILA-007
"Mouseion kai Bibliotheke, V, i, 1884-5, p. 54, no. υλγ'",1,,ILA-007
"Drexler, op. cit., col. 2703, no. 16",1,,ILA-007
"S. Reinach, RA, 1886, I, p. 156",1,,ILA-007
"G. Leemans, Grieksche Opschriften uit Klein-Azie, Amsterdam, 1886, pp. 10-11, no. 4",1,,ILA-007
"H.J. Polak, Mnemosyne, XV, 1887, p. 252ff., no. 4",1,,ILA-007
"Ramsay, JHS, X, 1889, p. 226, no. 20",1,,ILA-007
"Perdrizet, op. cit., p. 58, no. 2",1,,ILA-007
"Steinleitner, Die Beicht, Munich 1913, pp. 22-23, no. 4",1,,ILA-007
"H.W. Pleket, Greek Inscriptions in the Rijksmuseum van Oudheden at Leiden, 1958, App. II, no. 4",1,,ILA-007
"Lane, I, p. 17, no. 14",1,,ILA-007
"Lane, CMRDM I 36",1,,ILA-008
"Le Bas-Waddington, III, i, p. 215, no. 685",1,,ILA-008
"Drexler, op. cit., col. 2704, no. 21",1,,ILA-008
"Lane, I, p. 17, no. 18",1,,ILA-008
"Lane, CMRDM I 37",1,,ILA-009
"Le Bas-Waddington, op. cit., III, i, p. 215, no. 686",1,,ILA-009
"K-P, II Reise, p. 95, no. 184",1,,ILA-009
"Lane, I, p. 19, no. 27",1,,ILA-009
"Lane, CMRDM I 38",1,,ILA-010
"K-P, II Reise, p. 95, no. 185",1,,ILA-010
"Lane, I, p. 18, no. 22",1,,ILA-010
"Lane, CMRDM I 39",1,,ILA-011
"L. Robert, Nouvelles Inscriptions de Sardes, Paris, 1964, pp. 35-6 and Plate III, no. 1",1,,ILA-011
"Lane, II, p. 46, no. 8",1,,ILA-011
"Lane, CMRDM I 40",1,,ILA-012
"Mouseion kai Bibliotheke, 1885/6, 2, p. 804, no. φοε'",1,,ILA-012
"Drexler, op. cit., col. 2700, no. 3",1,,ILA-012
"Smirnoff, op. cit., p. 93, no. 15",1,,ILA-012
"Perdrizet, op. cit., p. 58, top, no. 6",1,,ILA-012
"P. Herrmann, Ergebnisse einer Reise in Nordostlydien, 1962, p. 45, note 176",1,,ILA-012
"Lane, I, p. 15, Lydia no. 3",1,,ILA-012
"Lane, CMRDM I 41",1,,ILA-013
"Drexler, op. cit., col. 2702, no. 9",1,,ILA-013
"K. Buresch, Reisebericht II, Leipzig, 1894, p. 95",1,,ILA-013
"Perdrizet, op. cit., p. 58, top, no. 7",1,,ILA-013
"Buresch, Aus Lydien, Leipzig, 1898, p. 79, no. 39",1,,ILA-013
"Lane, I, p. 15, Lydia no. 7",1,,ILA-013
"Lane, CMRDM I 42",1,,ILA-014
"K-P, II Reise, p. 103, no. 204",1,,ILA-014
"Steinleitner, op. cit., p. 10, no. 1",1,,ILA-014
"M. Rostovzeff, SEHRE², Oxford, 1957, p. 656, note 6",1,,ILA-014
"Herrmann, op. cit., p. 45, note 174",1,,ILA-014
"Lane, I, p. 18, no. 20",1,,ILA-014
"Lane, CMRDM I 43",1,,ILA-015
"*A. Fontrier, Harmonia, 20 and 31 May 1900, no. 2",1,,ILA-015
"J. Zingerle, JÖAI, XXIII, 1926, Beiblatt, cols. 1-15 and fig. 1",1,,ILA-015
"SEG, IV, 1930, p. 123, no. 647",1,,ILA-015
"Rostovzeff, SEHRE², p. 656, note 6",1,,ILA-015
"Herrmann, op. cit., p. 30, note 102",1,,ILA-015
"Lane, I, p. 18, no. 24",1,,ILA-015
"Lane, CMRDM I 45",1,,ILA-016
"*Fontrier, loc. cit., no. 4",1,,ILA-016
"Zingerle, op. cit., col. 27, no. 4",1,,ILA-016
"SEG, IV, p. 125, no. 650",1,,ILA-016
"Lane, I, p. 19, no. 26",1,,ILA-016
"Lane, CMRDM I 46",1,,ILA-017
"K-P, II Reise, p. 105, no. 205",1,,ILA-017
"Herrmann, op. cit., p. 45, note 176",1,,ILA-017
"Lane, I, p. 18, no. 21",1,,ILA-017
"Lane, CMRDM I 47",1,,ILA-018
"Herrmann, op. cit., p. 24, no. 18, Plate VI, no. 1",1,,ILA-018
"Robert, REG, LXXVI, 1963, p. 166-7, no. 224",1,,ILA-018
"Lane, I, p. 50, no. A1",1,,ILA-018
"Lane, CMRDM I 48",1,,ILA-019
"Herrmann, op. cit., p. 46, no. 40, Plate XIII, no. 1",1,,ILA-019
"Lane, I, p. 51, no. A6",1,,ILA-019
"Lane, CMRDM I 49",1,,ILA-020
