ILA-N-001	CMRDM-II-PHARNACEIA-1
ILA-N-002	CMRDM-II-GANGRA-GERMANICOPOLIS-1
ILA-N-003	CMRDM-II-BITHYNIUM-CLAUDIOPOLIS-1
ILA-N-004	CMRDM-II-JULIOPOLIS-1
ILA-N-005	CMRDM-II-JULIOPOLIS-2
ILA-N-006	CMRDM-II-JULIOPOLIS-3
ILA-N-007	CMRDM-II-JULIOPOLIS-4
ILA-N-008	CMRDM-II-JULIOPOLIS-5
ILA-N-009	CMRDM-II-JULIOPOLIS-6
ILA-N-010	CMRDM-II-JULIOPOLIS-7
ILA-N-011	CMRDM-II-JULIOPOLIS-8
ILA-N-012	CMRDM-II-JULIOPOLIS-9
ILA-N-013	CMRDM-II-JULIOPOLIS-10
ILA-N-014	CMRDM-II-JULIOPOLIS-11
ILA-N-015	CMRDM-II-JULIOPOLIS-12
ILA-N-016	CMRDM-II-JULIOPOLIS-13
ILA-N-017	CMRDM-II-JULIOPOLIS-14
ILA-N-018	CMRDM-II-JULIOPOLIS-15
ILA-N-019	CMRDM-II-JULIOPOLIS-16
ILA-N-020	CMRDM-II-JULIOPOLIS-17
ILA-N-021	CMRDM-II-ELAIA-1
ILA-N-022	CMRDM-II-ELAIA-2
ILA-N-023	CMRDM-II-MAGNESIA-1
ILA-N-024	CMRDM-II-MAGNESIA-2
ILA-N-025	CMRDM-II-MAGNESIA-3
ILA-N-026	CMRDM-II-MAGNESIA-4
ILA-N-027	CMRDM-II-MAGNESIA-5
ILA-N-028	CMRDM-II-MAGNESIA-6
ILA-N-029	CMRDM-II-MAGNESIA-7
ILA-N-030	CMRDM-II-MAGNESIA-8
ILA-N-031	CMRDM-II-MAGNESIA-9
ILA-N-032	CMRDM-II-PRIENE-1
ILA-N-033	CMRDM-II-PRIENE-2
ILA-N-034	CMRDM-II-PRIENE-3
ILA-N-035	CMRDM-II-PRIENE-4
ILA-N-036	CMRDM-II-PRIENE-5
ILA-N-037	CMRDM-II-PRIENE-6
ILA-N-038	CMRDM-II-PRIENE-7
ILA-N-039	CMRDM-II-BAGEIS-1
ILA-N-040	CMRDM-II-BAGEIS-2
ILA-N-041	CMRDM-II-BAGEIS-3
ILA-N-042	CMRDM-II-GORDUS-JULIA-1
ILA-N-043	CMRDM-II-GORDUS-JULIA-2
ILA-N-044	CMRDM-II-GORDUS-JULIA-3
ILA-N-045	CMRDM-II-GORDUS-JULIA-4
ILA-N-046	CMRDM-II-GORDUS-JULIA-5
ILA-N-047	CMRDM-II-GORDUS-JULIA-6
ILA-N-048	CMRDM-II-GORDUS-JULIA-7
ILA-N-049	CMRDM-II-GORDUS-JULIA-8
ILA-N-050	CMRDM-II-MAEONIA-1
ILA-N-051	CMRDM-II-MAEONIA-2
ILA-N-052	CMRDM-II-NYSA-1
ILA-N-053	CMRDM-II-NYSA-2
ILA-N-054	CMRDM-II-NYSA-3
ILA-N-055	CMRDM-II-NYSA-4
ILA-N-056	CMRDM-II-NYSA-5
ILA-N-057	CMRDM-II-NYSA-6
ILA-N-058	CMRDM-II-NYSA-7
ILA-N-059	CMRDM-II-NYSA-8
ILA-N-060	CMRDM-II-NYSA-9
ILA-N-061	CMRDM-II-NYSA-10
ILA-N-062	CMRDM-II-NYSA-11
ILA-N-063	CMRDM-II-NYSA-12
ILA-N-064	CMRDM-II-NYSA-13
ILA-N-065	CMRDM-II-NYSA-14
ILA-N-066	CMRDM-II-NYSA-15
ILA-N-067	CMRDM-II-NYSA-16
ILA-N-068	CMRDM-II-NYSA-17
ILA-N-069	CMRDM-II-NYSA-18
ILA-N-070	CMRDM-II-NYSA-19
ILA-N-071	CMRDM-II-NYSA-20
ILA-N-072	CMRDM-II-NYSA-21
ILA-N-073	CMRDM-II-NYSA-22
ILA-N-074	CMRDM-II-NYSA-23
ILA-N-075	CMRDM-II-NYSA-24
ILA-N-076	CMRDM-II-NYSA-25
ILA-N-077	CMRDM-II-NYSA-26
ILA-N-078	CMRDM-II-NYSA-27
ILA-N-079	CMRDM-II-NYSA-28
ILA-N-080	CMRDM-II-NYSA-29
ILA-N-081	CMRDM-II-NYSA-30
ILA-N-082	CMRDM-II-NYSA-31
ILA-N-083	CMRDM-II-NYSA-32
ILA-N-084	CMRDM-II-NYSA-33
ILA-N-085	CMRDM-II-NYSA-34
ILA-N-086	CMRDM-II-NYSA-35
ILA-N-087	CMRDM-II-NYSA-36
ILA-N-088	CMRDM-II-NYSA-37
ILA-N-089	CMRDM-II-NYSA-38
ILA-N-090	CMRDM-II-NYSA-39
ILA-N-091	CMRDM-II-NYSA-40
ILA-N-092	CMRDM-II-NYSA-41
ILA-N-093	CMRDM-II-NYSA-42
ILA-N-094	CMRDM-II-NYSA-43
ILA-N-095	CMRDM-II-SAITTA-1
ILA-N-096	CMRDM-II-SAITTA-2
ILA-N-097	CMRDM-II-SAITTA-3
ILA-N-098	CMRDM-II-SAITTA-4
ILA-N-099	CMRDM-II-SAITTA-5
ILA-N-100	CMRDM-II-SAITTA-6
ILA-N-101	CMRDM-II-SAITTA-7
ILA-N-102	CMRDM-II-SAITTA-8
ILA-N-103	CMRDM-II-SAITTA-9
ILA-N-104	CMRDM-II-SAITTA-10
ILA-N-105	CMRDM-II-SAITTA-11
ILA-N-106	CMRDM-II-SAITTA-12
ILA-N-107	CMRDM-II-SAITTA-13
ILA-N-108	CMRDM-II-SAITTA-14
ILA-N-109	CMRDM-II-SAITTA-15
ILA-N-110	CMRDM-II-SAITTA-16
ILA-N-111	CMRDM-II-SAITTA-17
ILA-N-112	CMRDM-II-SAITTA-18
ILA-N-113	CMRDM-II-SARDIS-1
ILA-N-114	CMRDM-II-SARDIS-2
ILA-N-115	CMRDM-II-SARDIS-3
ILA-N-116	CMRDM-II-SARDIS-4
ILA-N-117	CMRDM-II-SARDIS-5
ILA-N-118	CMRDM-II-SARDIS-6
ILA-N-119	CMRDM-II-SARDIS-7
ILA-N-120	CMRDM-II-SARDIS-8
ILA-N-121	CMRDM-II-SARDIS-9
