ILA-N-001	Pharnaceia 1	rev
ILA-N-007	Juliopolis 4	obv
ILA-N-008	Juliopolis 5	obv
ILA-N-010	Juliopolis 7	obv
ILA-N-013	Juliopolis 10	obv
ILA-N-023	Magnesia 1	obv
ILA-N-027	Magnesia 5	obv
ILA-N-028	Magnesia 6	obv
ILA-N-032	Priene 1	obv
ILA-N-033	Priene 2	obv
ILA-N-036	Priene 5	obv
ILA-N-037	Priene 6	obv
ILA-N-041	Bageis 3	obv
ILA-N-046	Gordus-Julia 5	obv
ILA-N-067	Nysa 16	obv
ILA-N-068	Nysa 17	obv
ILA-N-069	Nysa 18	obv
ILA-N-075	Nysa 24	rev
ILA-N-076	Nysa 25	obv
ILA-N-077	Nysa 26	rev
ILA-N-078	Nysa 27	obv+rev
ILA-N-081	Nysa 30	obv
ILA-N-082	Nysa 31	obv
ILA-N-083	Nysa 32	obv
ILA-N-084	Nysa 33	obv
ILA-N-085	Nysa 34	obv+rev
ILA-N-086	Nysa 35	obv
ILA-N-087	Nysa 36	obv
ILA-N-089	Nysa 38	obv
ILA-N-091	Nysa 40	obv
ILA-N-092	Nysa 41	obv
ILA-N-093	Nysa 42	obv
ILA-N-098	Saitta 4	obv
ILA-N-107	Saitta 13	obv+rev
ILA-N-108	Saitta 14	obv
ILA-N-127	Silandus 2	obv
ILA-N-128	Silandus 3	obv
ILA-N-139	Trapezopolis 5	obv
ILA-N-140	Accilaeum 1	obv
ILA-N-146	Alia 6	obv
ILA-N-149	Cibyra 1	rev
ILA-N-153	Cibyra 5	obv
ILA-N-155	Colossae 2	obv
ILA-N-157	Grimenothyrae 1	rev
ILA-N-160	Grimenothyrae 4	obv
ILA-N-163	Hadrianopolis 3	obv
ILA-N-170	Hierapolis 7	obv
ILA-N-182	Julia 3	obv
ILA-N-183	Julia 4	obv
ILA-N-192	Metropolis 3	obv+rev
ILA-N-204	Sebaste 5	obv
ILA-N-209	Siblia 5	obv
ILA-N-219	Temenothyrae 7	obv
ILA-N-222	Temenothyrae 10	obv
ILA-N-223	Temenothyrae 11	obv
ILA-N-235	Antioch 12	rev
ILA-N-252	Antioch 29	rev
ILA-N-255	Antioch 32	obv
ILA-N-286	Ariassus 1	obv
ILA-N-288	Baris 2	obv
ILA-N-289	Baris 3	obv
ILA-N-290	Baris 4	obv
ILA-N-295	Colbasa 2	obv
ILA-N-298	Conana 3	obv+rev
ILA-N-299	Conana 4	obv+rev
ILA-N-306	Palaeopolis 2	obv
ILA-N-307	Palaeopolis 3	obv
ILA-N-308	Palaeopolis 4	obv
ILA-N-319	Prostanna 1	obv
ILA-N-320	Prostanna 2	obv
ILA-N-321	Sagalassus 1	rev
ILA-N-329	Sagalassus 9	obv
ILA-N-330	Sagalassus 10	obv+rev
ILA-N-332	Sagalassus 12	obv
ILA-N-335	Sagalassus 15	obv
ILA-N-338	Sagalassus 18	obv
ILA-N-339	Sagalassus 19	obv
ILA-N-340	Sagalassus 20	obv
ILA-N-341	Sagalassus 21	obv
ILA-N-343	Sagalassus 23	obv
ILA-N-345	Sagalassus 25	obv
ILA-N-346	Sagalassus 26	obv
ILA-N-347	Sagalassus 27	rev
ILA-N-349	Seleuceia 2	obv+rev
ILA-N-350	Seleuceia 3	obv
ILA-N-353	Seleuceia 6	obv
ILA-N-354	Seleuceia 7	obv
ILA-N-358	Seleuceia 11	obv
ILA-N-359	Seleuceia 12	obv
ILA-N-361	Seleuceia 14	obv
ILA-N-362	Sibidunda 1	obv
ILA-N-363	Timbrias 1	obv
ILA-N-365	Timbrias 3	obv
ILA-N-366	Timbrias 4	obv
ILA-N-375	Sillyon 7	obv
ILA-N-376	Sillyon 8	obv
ILA-N-378	Sillyon 10	obv
ILA-N-379	Sillyon 11	obv
ILA-N-380	Sillyon 12	obv
ILA-N-381	Sillyon 13	obv
ILA-N-384	Sillyon 16	obv
ILA-N-385	Sillyon 17	obv
ILA-N-386	Sillyon 18	obv
ILA-N-387	Sillyon 19	obv
ILA-N-389	Sillyon 21	obv
ILA-N-394	Sillyon 26	obv
ILA-N-395	Sillyon 27	obv
ILA-N-398	Sillyon 30	obv
ILA-N-399	Sillyon 31	obv
ILA-N-400	Sillyon 32	obv
ILA-N-401	Sillyon 33	obv
ILA-N-403	Sillyon 35	obv
ILA-N-404	Sillyon 36	obv
ILA-N-406	Sillyon 38	obv
ILA-N-407	Sillyon 39	obv
ILA-N-409	Sillyon 41	obv
ILA-N-412	Sillyon 44	obv
ILA-N-417	Sillyon 49	obv
ILA-N-418	Sillyon 50	obv
ILA-N-419	Sillyon 51	obv
ILA-N-420	Sillyon 52	obv
ILA-N-421	Sillyon 53	obv
ILA-N-422	Sillyon 54	obv
ILA-N-423	Galatia 1	rev
ILA-N-428	Galatia 6	obv+rev
ILA-N-429	Galatia 7	obv
ILA-N-437	Ancyra 7	obv
ILA-N-439	Ancyra 9	obv
ILA-N-443	Ancyra 13	obv
ILA-N-452	Laodiceia ad Libanum 1	obv+rev
ILA-N-453	Laodiceia ad Libanum 2	obv+rev
ILA-N-454	Laodiceia ad Libanum 3	obv
ILA-N-455	Laodiceia ad Libanum 4	obv
