scheda,fonte,riferimento,regione,similarita,divergenze,tipi,esempi,car_stampa,car_corpus
ILA-094,cmrdm-i,"CMRDM I 5","Graecia",0.069,1,"blocco","ι ι γεσι ει κι καιπαντε σταισοιοσε περωτασς υνδιοσερμη γγγλαλα κμκα ο αιιδλνυ α ταυ δινει ο η α δ ν διωοσκατααθονιιου τρεις δοτανεξειται δυοτες σαραχρης μοσοδ ηπραξιισκωλυματεχειμησιτευδεαλααναμεινον λυπηραατισοδος καιαμιηχανος ουδεττρος ικτη ιωνεις θαιχλλει τον καιπωλειντιβαλαβοσεστλι εερεγ κζ αφροδειτη σ τεσσαραδεξειταιμουνος τριασοιταδε φραζει ου ρανοπαισαφροδειτιιερωτωνποτνιανας σα πε χει μαντειαναγαθη νδω σειδεοδονσοι σ ιεκφε υξητενος ουκαιφρον τιδοσαινες ιθυμου τγγγααλ μ παδωι το μαψευυογιγενος ουαι ψγονν ηιδοσαινε σ ιιϑυων σ εεγεδ κη βλαβις τεσσαρεσεξειται και τε τρωοσταδεφραζειι ου κεστινπραξαιτιματιινμηδιηκεναμοχθει μτδιιγιπγυλοντι πααδπδ τυ τιγγγνιμιται μπεεις οις πρ υδον πιλαωος σνιητ ιδι ο ου τεγαρεισοδονορμασθαικαλονου ταγοραζειν ειδεκενε ξειται παντες πειπτωσινομοιοι μηβαινηνμελλεις επειιναλντισοι ες ταιαμεινον νδοδτα τι δροο μιν ηγ ταταυταλιττται εμοωγονμιλαγσωυνους σγις αψυρυγιιν ιδαιααυ ιααδεξε ω α ε δα τοντεφοβονλυσε ικαιτονκαμνονταδεσωσει σσσσα χε μηνοσ φωσφορου τεσσαρεσ εξειται πεμπτοσ χειοσ ταδε φραζει ωσ αρνασ κατεχουσι λυκοι κρατεροι τε λεοντεσ βουσ ελικασ παντων τουτων χαι συ κρατησεισ βουσ ελικασ παντων τουτων και συ κρατησεισ αν κγ ω ι ε ο και παντ εσται σοι οσ επερωτασ συν διοσ ερμη βουσ ελικασ τσ ξ τ ω κνε ξ εξ σσες οαταιοοθοε→∅",1322,47
ILA-281,cmrdm-i,"CMRDM I 294","Asia Minor",0.073,32,"lettera breve blocco numerale","ι→∅ · τ→∅ · κ μορευσασ μη ν→∅ · ασκαηνω ευχην αγαθη τυ χη μητηρ δενδρ→∅ · φορ ων οπθ ποαρ ι ασ τσ παριηασ π α→∅ · λου→∅",1208,46
ILA-099,cmrdm-i,"CMRDM I 10","Graecia",0.077,1,"blocco","ιν αν ξα ν θοσ μ ηνι τυραννω ξανθοσ καθειδρουσατο ιερον του μυηνοσ τυραννου αιρετισαντοσ του θεου επ αγαθη τυχη και μηθενα ακαθαρτον προσαγειν καθαριζεστω δε απο σκορ θυσιαζειν ανευ του καθιδρουσαμενου εαν δε τισ εαν δε δρουσαμενου εαν δε τισ βιασηται απροσδεκτοσ η θυσια παρα του θεου παρεχειν δε τωι θεωι το καθηκον δεξιον σκε απο νεκρου καθαριζεσται δεχκατ αι αν απο γυναικεων εβ δ ομαια ν ανδροφονον μηδε περι τον τοπον απο δε φθορασ τετταρα σαμενοι κατακεφαλα αυθειμεοι ευιιλατοσ γενοιτο ο θεοσ τοισ θεραπευουσιν απλη τη ψυχη εαν δε τινα ανθρωπινα πασχη η ασθενηση η αποδημησγ θεραπευε ασθενηση η αποδημησγη θεραπευε ζτω τον θεον ωι αν αυτοσ παραδοι οσ αν τον θεον ωι αν αυτοσ παραδοι τον θεον ωι αν αυτοσ παραδοι οσ αν ο ε πολυπραγμονηση η περιεργασηταζ ι αμαρτιαν οφ ει λετω μηνι τυραννω ην ουκ εξειλασεται διδοτω χεφαλη ποδασ και στηθυ→∅",879,35
ILA-220,cmrdm-i,"CMRDM I 232","Asia Minor",0.162,15,"blocco breve numerale lettera","ο ζζ ξ ξε εξ ο τσ εερ δ τω δ δ ξξ ν ξη γ εξι→∅ · ξ σε ξξ ωω→∅ · σ θεσε ξξ ξε ο δε ζ οοο ο δ εν πο ον ωσ εξ ξ ξο ν ο ον ες ζ ξξ φ' ψ ω ξζ ο ξα σω ξω ο→∅ · σ ο ω σζι ζω η ξξ→∅ · π οξ οα→∅ · αι→∅",283,25
ILA-077,cmrdm-i,"CMRDM I 109","Asia Minor",0.220,18,"breve lettera blocco","α ακ θον ορ ωο εν ζ→∅ · ν→∅ · κ→∅ · ι τ τ ο ν υ αιο σ→∅ · ι→∅ · γω ευ χη→∅",243,30
ILA-087,cmrdm-i,"CMRDM I 119","Asia Minor",0.224,7,"blocco breve","γου και ερμου αγο ραιου→∅ · ικη πα ρ ειμ ι καισαρ ι αει θε→∅ · ισ σεβαστο ισ και τωι δημωι την νικηιν και τον λ εοντα καλ λικρατησ μ ιολοσσο→∅ · ιε ρευσ μηνοσ ασ→∅ · νου→∅ · και→∅",747,94
ILA-118,cmrdm-i,"CMRDM I 129","Asia Minor",0.272,33,"breve lettera blocco numerale","νυ→∅ · ο τα χ→∅ · ημ→∅ · τισμο→∅ · ανεθηκε θεω οροσ→∅ · ερ→∅",433,75
ILA-121,cmrdm-i,"CMRDM I 133","Asia Minor",0.274,117,"breve lettera blocco","ϑο→σσσσα · δι→κε · δ δ ο→μη · ν→οσ · ευ ρα τυ→φ · ∅→σ",875,199
ILA-167,cmrdm-i,"CMRDM I 179","Asia Minor",0.310,34,"lettera breve blocco","υ→∅ · λ σεν→∅ · γ ουειβιοσ τιοσ→∅ · μαξιμοσ ουει→∅ · αλησ τ→∅ · α→λ",348,84
ILA-195,cmrdm-i,"CMRDM I 207","Asia Minor",0.311,7,"breve lettera blocco","κ λ→τ · λλιο→∅ · μετ→κ · ∅→ι · υν→∅ · κο ι θρεπτου τεχμορευσ→λλ",71,19
