scheda,puntini_originali,sequenza
ILA-004,3,...
ILA-008,3,...
ILA-013,6,......
ILA-013,3,...
ILA-014,3,...
ILA-017,6,......
ILA-019,2,..
ILA-019,16,................
ILA-019,24,........................
ILA-019,3,...
ILA-019,24,........................
ILA-022,3,···
ILA-022,3,...
ILA-023,6,......
ILA-026,2,··
ILA-026,16,................
ILA-026,16,................
ILA-026,8,........
ILA-026,6,......
ILA-026,7,· ......
ILA-026,11,...........
ILA-028,10,· · · · · · · · · ·
ILA-033,3,···
ILA-033,6,······
ILA-033,13,·············
ILA-038,3,...
ILA-038,3,...
ILA-039,3,...
ILA-039,1,·
ILA-046,13,·············
ILA-046,13,·············
ILA-046,13,·············
ILA-046,10,··········
ILA-046,14,··············
ILA-046,3,···
ILA-046,13,·············
ILA-046,4,····
ILA-046,10,··········
ILA-046,5,·····
ILA-046,11,···········
ILA-046,11,···········
ILA-046,11,···········
ILA-046,2,··
ILA-046,11,···········
ILA-046,13,·············
ILA-046,9,·········
ILA-046,9,·········
ILA-046,9,·········
ILA-046,5,·····
ILA-046,2,··
ILA-046,3,···
ILA-046,3,···
ILA-046,3,···
ILA-047,4,····
ILA-049,11,···········
ILA-049,5,·····
ILA-049,4,····
ILA-049,5,·····
ILA-049,7,·······
ILA-049,13,·············
ILA-049,7,·······
ILA-049,11,···········
ILA-049,14,··············
ILA-049,13,·············
ILA-049,12,············
ILA-049,13,·············
ILA-050,10,..........
ILA-050,9,.........
ILA-056,4,····
ILA-074,4,····
ILA-077,6,······
ILA-079,3,...
ILA-086,13,.............
ILA-089,13,.............
ILA-089,7,.......
ILA-089,7,·······
ILA-091,3,· · ·
ILA-091,2,· ·
ILA-091,3,· · ·
ILA-091,3,· · ·
ILA-108,1,.
ILA-109,6,......
ILA-117,5,.....
ILA-134,10,..........
ILA-135,12,............
ILA-136,7,.......
ILA-136,9,.........
ILA-136,10,..........
ILA-136,19,...................
ILA-136,8,........
ILA-141,3,···
ILA-141,8,········
ILA-149,11,...........
ILA-149,8,........
ILA-149,15,...............
ILA-149,16,................
ILA-149,3,...
ILA-153,9,.........
ILA-157,13,.............
ILA-157,4,....
ILA-157,14,..............
ILA-161,10,..........
ILA-167,3,...
ILA-170,3,...
ILA-194,9,.........
ILA-234,6,......
ILA-234,10,..........
ILA-252,5,.....
ILA-252,4,....
ILA-252,5,.....
ILA-252,2,..
ILA-254,3,...
ILA-259,12,............
ILA-259,13,.............
ILA-259,5,.....
ILA-262,6,......
ILA-262,3,...
ILA-262,6,......
ILA-262,5,.....
ILA-263,9,.........
ILA-263,9,.........
ILA-263,6,......
ILA-264,6,......
ILA-264,6,......
ILA-264,5,.....
ILA-264,5,.....
ILA-264,8,........
ILA-265,6,......
ILA-265,4,....
ILA-265,4,....
ILA-265,4,....
ILA-268,5,.....
ILA-269,9,.........
ILA-269,4,....
ILA-269,9,.........
ILA-274,5,.....
ILA-274,5,.....
ILA-275,4,....
ILA-275,4,....
ILA-279,8,........
ILA-279,8,........
ILA-279,8,........
ILA-280,5,.....
ILA-280,7,.......
ILA-281,5,.....
ILA-281,5,.....
ILA-284,3,...
ILA-289,5,.....
ILA-289,3,...
ILA-289,3,...
ILA-292,6,......
