sigla,opera_estesa,n_bibl,note
"Drexler, op. cit.","W. Drexler, Mên, in W.H. Roscher (a cura di), Ausführliches Lexikon der griechischen und römischen Mythologie, II.2, Leipzig 1894-1897, cc. 2687-2770.",51,"la sigla è sempre seguita da una col./cc. 26xx-27xx"
"Perdrizet, op. cit.","P. Perdrizet, Mèn, «BCH» 20 (1896), pp. 55-106.",38,""
"Herrmann, op. cit.","P. Herrmann, Ergebnisse einer Reise in Nordostlydien, «Denkschriften der Österreichischen Akademie der Wissenschaften, Philosophisch-Historische Klasse» 80, Wien 1962.",17,""
"Anderson, op. cit.","J.G.C. Anderson, Exploration in Galatia cis Halym. Part II, «JHS» 19 (1899), pp. 52-134, 280-318.",11,"titolo articolo da verificare sul cartaceo; include ""J.G.C. Anderson, op. cit."""
"Steinleitner, op. cit.","F. Steinleitner, Die Beicht im Zusammenhange mit der sakralen Rechtspflege in der Antike, München-Leipzig 1913.",7,""
"Smirnoff, op. cit.","Y. Smirnoff, [articolo su Men], in Stephanos. Studies in Honour of F. F. Sokolov, St. Petersburg 1895, pp. 114-117.",5,""
"Le Bas-Waddington, op. cit.","P. Le Bas – W.H. Waddington, Voyage archéologique en Grèce et en Asie Mineure, III, i (Inscriptions), Paris ca. 1870.",5,"anche grafia ""LeBas-Waddington"""
"Keppel, op. cit.","G. Keppel, Narrative of a Journey across the Balcan, also of a Visit to Aizani and the newly discovered Ruins in Asia Minor in the Years 1829-30, II, London 1831.",3,""
"Leemans, op. cit.","G. Leemans, Grieksche Opschriften uit Klein-Azië (Amsterdam Academy, Verhandelingen, Afdeeling Letterkunde XVII, ii), 1886.",3,""
"L. Vidman, op. cit.","L. Vidman, Sylloge Inscriptionum Religionis Isiacae et Sarapiacae, Berlin 1969.",3,""
"Zingerle, op. cit.","J. Zingerle, [contributo in] «Österreichisches Archäologisches Institut, Jahreshefte» 23 (1926), Beiblatt, cc. 1-15.",2,""
"Roscher, op. cit.","W.H. Roscher, [contributo in] Königlich Sächsische Gesellschaft der Wissenschaften zu Leipzig, Philologisch-Historische Klasse, «Berichte» 43 (1891), p. 125, tavv. II-III.",2,"NON è il Lexikon (quello è Drexler); = «Nachträge … über Selene und Verwandtes»"
"Hiesinger, op. cit.","U.W. Hiesinger, Three Images of the God Men, «HSCP» 71 (1966), pp. 303-310.",2,""
"Duthoy, op. cit.","R. Duthoy, The Taurobolium. Its Evolution and Terminology, Leiden 1969.",2,""
"Vermaseren, op. cit.","M.J. Vermaseren, Corpus Inscriptionum et Monumentorum Religionis Mithriacae (CIMRM), I, The Hague 1956.",2,"diverso da «Vermaseren, Vigiliae Christianae IV, 1950»"
"Fontrier, loc. cit.","*A. Fontrier, [in] «Harmonia», 20 e 31 maggio 1900, no. 2.",1,""
"Texier, op. cit.","C. Texier, Description de l'Asie Mineure, I, Paris 1850.",1,""
"T. Homolle, op. cit.","T. Homolle, [in] «BCH» 18 (1894), p. 539.",1,""
"Gurlitt, loc. cit.","W. Gurlitt, [in] «Philologus» 27 (1868), pp. 729-735.",1,""
"Cordella, loc. cit.","*A. Cordella, Le Laurion, Marseille 1871, pp. 34-36.",1,""
"Foucart, loc. cit.","P. Foucart, Des associations religieuses chez les Grecs, Paris 1873, pp. 119-127.",1,"in ILA-108; diverso da «P. Foucart, BCH IV, 1880»"
"Daremberg-Saglio, loc. cit.","C. Daremberg – E. Saglio, Dictionnaire des antiquités grecques et romaines, III, ii, Paris 1877-1918, p. 1397.",1,""
"Milchhöfer, loc. cit.","A. Milchhöfer, [in] «AM» 12 (1887), p. 300, no. 279.",1,""
"Heinevetter, op. cit.","F. Heinevetter, Würfel- und Buchstabenorakel in Griechenland und Kleinasien, Breslau 1912.",1,""
"Cronin, op. cit.","H.S. Cronin, [in] «JHS» 22 (1902), p. 118, no. 42.",1,""
"Calder, op. cit.","W.M. Calder, [in] «Revue de Philologie» 36 (1912), p. 66, no. 33.",1,"scheda no. 150; Lane cita anche Calder in Klio X 1910, Klio XXIV 1930, JRS II 1912"
"Callander, op. cit.","T.A. Callander, [in] Studies in the History and Art of the Eastern Provinces of the Roman Empire (Aberdeen University Studies XX), 1906, p. 160, no. 9.",1,""
"Swoboda et al., op. cit.","H. Swoboda – J. Keil – F. Knoll, Denkmäler aus Lykaonien, Pamphylien und Isaurien, Prag 1935.",1,""
"L. Robert, REG, LXXXI, 1968, loc. cit.","L. Robert, [in] «REG» 81 (1968), p. 429, no. 71.",1,""
"Ramsay, JRS, VIII, 1918, loc. cit.","W.M. Ramsay, [in] «JRS» 8 (1918).",1,""
"P. Roussel, op. cit.","*P. Roussel, Les cultes égyptiens à Délos du IIIe au Ier siècle av. J.-C., Paris-Nancy 1916.",1,""
"J. Marcadé, locc. citt.","J. Marcadé, Au Musée de Délos, Paris 1969, pp. 399 e 411.",1,""
"Apollonj-Ghetti et al., loc. cit.","B.M. Apollonj Ghetti – A. Ferrua – E. Josi – E. Kirschbaum, Esplorazioni sotto la confessione di San Pietro in Vaticano eseguite negli anni 1940-1949, Città del Vaticano 1951.",1,""
"idem (ILA-096)","[F.] Wieseler, Abhandlungen der Königlichen Gesellschaft der Wissenschaften zu Göttingen 19 (1874), p. 34.",1,"idem = stesso autore della voce precedente (Wieseler)"
"Lane, I, loc. cit.","Rinvio di Lane al proprio CMRDM I per quella scheda (pagina/numero da completare caso per caso).",2,"ILA-245, ILA-246"
