scheda,lane_ref,famiglia,lemma,sotto_funzione,forma_attestata,cert,verifica
ILA-107,"Lane, CMRDM I 12",agency,αἱρετίζω,scelta,αἱρετίσαντος,,auto
ILA-108,"Lane, CMRDM I 13",agency,αἱρετίζω,scelta,αἱρετίσαντος,,auto
ILA-014,"Lane, CMRDM I 42",agency,βασιλεύω,signoria-territoriale,βασιλεύοντες,,auto
ILA-022,"Lane, CMRDM I 51",agency,βασιλεύω,signoria-territoriale,βασιλεύ,low,auto
ILA-102,"Lane, CMRDM I 69",agency,βασιλεύω,signoria-territoriale,βασιλεύων,,auto
ILA-015,"Lane, CMRDM I 43",agency,δύναμις,dynamis,δυνάμεις,,auto
ILA-024,"Lane, CMRDM I 53",agency,δύναμις,dynamis,δυνάμις,,auto
ILA-033,"Lane, CMRDM I 62",agency,δύναμις,dynamis,δυνάμις,,auto
ILA-101,"Lane, CMRDM I 44",agency,δύναμις,dynamis,δυνάμεις,,auto
ILA-102,"Lane, CMRDM I 69",agency,δύναμις,dynamis,δυνάμεις,,auto
ILA-104,"Lane, CMRDM I 83",agency,δύναμις,dynamis,δυναμίς,,auto
ILA-107,"Lane, CMRDM I 12",agency,εὐίλατος,disposizione-favorevole,εὐίλατος,,auto
ILA-108,"Lane, CMRDM I 13",agency,εὐίλατος,disposizione-favorevole,εὐείλατος,,auto
ILA-015,"Lane, CMRDM I 43",agency,κατέχω,signoria-territoriale,κατέχουσα,,auto
ILA-018,"Lane, CMRDM I 47",agency,κατέχω,signoria-territoriale,κατέχοντα,,auto
ILA-054,"Lane, CMRDM I 86",agency,κατέχω,signoria-territoriale,κατέχοντι,,auto
ILA-018,"Lane, CMRDM I 47",agency,κολάζω,castigo-divino,ἐκολάσετο,,auto
ILA-022,"Lane, CMRDM I 51",agency,κολάζω,castigo-divino,Κολασθέντος,,auto
ILA-029,"Lane, CMRDM I 58",agency,κολάζω,castigo-divino,ἐκολάσετο,,auto
ILA-033,"Lane, CMRDM I 62",agency,κολάζω,castigo-divino,ἐκόλασετο,,auto
ILA-101,"Lane, CMRDM I 44",agency,κολάζω,castigo-divino,κολάσει,,auto
ILA-103,"Lane, CMRDM I 80",agency,κολάζω,castigo-divino,κολασθεὶς,,auto
ILA-018,"Lane, CMRDM I 47",agency,νεμεσάω,castigo-divino,νέμεσιν,,auto
ILA-046,"Lane, CMRDM I 76",agency,νεμεσάω,castigo-divino,νέμεσθαι,,auto
ILA-102,"Lane, CMRDM I 69",agency,νεμεσάω,castigo-divino,ἐνεμέσησε,,auto
ILA-118,"Lane, CMRDM I 129",agency,χρηματισμός,comando,χρήματισμὸν,,auto
ILA-072,"Lane, CMRDM I 104",agency,ἐπήκοος,ascolto,Ἐπηκόῳ,,auto
ILA-113,"Lane, CMRDM I 124",agency,ἐπήκοος,ascolto,Ἐπηκόῳ,,auto
ILA-114,"Lane, CMRDM I 125",agency,ἐπήκοος,ascolto,Ἐπηκόῳ,,auto
ILA-267,"Lane, CMRDM I 280",agency,ἐπήκοος,ascolto,ἐπηκόῳ,,auto
ILA-005,"Lane, CMRDM I 33",agency,ἐπιταγή,comando,ἐπιταγὴν,,auto
ILA-020,"Lane, CMRDM I 49",agency,ἐπιταγή,comando,ἐπιταγὴν,,auto
ILA-024,"Lane, CMRDM I 53",agency,ἐπιταγή,comando,ἐπιταγὴν,,auto
ILA-025,"Lane, CMRDM I 54",agency,ἐπιταγή,comando,ἐπιταγὴν,,auto
ILA-032,"Lane, CMRDM I 61",agency,ἐπιταγή,comando,ἐπιταγὴν,,auto
ILA-119,"Lane, CMRDM I 130",agency,ἐπιφανής,manifestazione,ἐπιφανοῦ,,auto
ILA-015,"Lane, CMRDM I 43",atto-cultuale,εὐλογέω,propiziazione,εὐλογοῦμεν,,auto
ILA-022,"Lane, CMRDM I 51",atto-cultuale,εὐλογέω,propiziazione,εὐλογεῖ,,auto
ILA-036,"Lane, CMRDM I 65",atto-cultuale,εὐλογέω,propiziazione,εὐλογοῦσα,,auto
ILA-039,"Lane, CMRDM I 68",atto-cultuale,εὐλογέω,propiziazione,εὐλογῶ,,auto
ILA-101,"Lane, CMRDM I 44",atto-cultuale,εὐλογέω,propiziazione,εὐλογοῦμεν,,auto
ILA-103,"Lane, CMRDM I 80",atto-cultuale,εὐλογέω,propiziazione,εὐλογεῖ,,auto
ILA-003,"Lane, CMRDM I 31",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-009,"Lane, CMRDM I 37",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-011,"Lane, CMRDM I 39",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-012,"Lane, CMRDM I 40",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-024,"Lane, CMRDM I 53",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-025,"Lane, CMRDM I 54",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-030,"Lane, CMRDM I 59",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-034,"Lane, CMRDM I 63",atto-cultuale,εὐχή,voto,εὐχήν,low,auto
ILA-042,"Lane, CMRDM I 72",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-043,"Lane, CMRDM I 73",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-044,"Lane, CMRDM I 74",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-051,"Lane, CMRDM I 82",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-054,"Lane, CMRDM I 86",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-056,"Lane, CMRDM I 88",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-059,"Lane, CMRDM I 91",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-060,"Lane, CMRDM I 92",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-063,"Lane, CMRDM I 95",atto-cultuale,εὐχή,voto,εὐχή,,auto
ILA-064,"Lane, CMRDM I 96",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-066,"Lane, CMRDM I 98",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-070,"Lane, CMRDM I 102",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-071,"Lane, CMRDM I 103",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-072,"Lane, CMRDM I 104",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-073,"Lane, CMRDM I 105",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-075,"Lane, CMRDM I 107",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-076,"Lane, CMRDM I 108",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-078,"Lane, CMRDM I 110",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-079,"Lane, CMRDM I 111",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-081,"Lane, CMRDM I 113",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-082,"Lane, CMRDM I 114",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-083,"Lane, CMRDM I 115",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-103,"Lane, CMRDM I 80",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-105,"Lane, CMRDM I 260",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-111,"Lane, CMRDM I 122",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-114,"Lane, CMRDM I 125",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-116,"Lane, CMRDM I 127",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-117,"Lane, CMRDM I 128",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-140,"Lane, CMRDM I 152",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-141,"Lane, CMRDM I 153",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-145,"Lane, CMRDM I 157",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-165,"Lane, CMRDM I 177",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-167,"Lane, CMRDM I 179",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-168,"Lane, CMRDM I 180",atto-cultuale,εὐχή,voto,εὐχή,,auto
ILA-169,"Lane, CMRDM I 181",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-172,"Lane, CMRDM I 184",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-173,"Lane, CMRDM I 185",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-174,"Lane, CMRDM I 186",atto-cultuale,εὐχή,voto,Εὐχὴν,,auto
ILA-175,"Lane, CMRDM I 187",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-176,"Lane, CMRDM I 188",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-177,"Lane, CMRDM I 189",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-178,"Lane, CMRDM I 190",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-179,"Lane, CMRDM I 191",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-180,"Lane, CMRDM I 192",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-181,"Lane, CMRDM I 193",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-182,"Lane, CMRDM I 194",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-183,"Lane, CMRDM I 195",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-184,"Lane, CMRDM I 196",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-185,"Lane, CMRDM I 197",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-186,"Lane, CMRDM I 198",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-187,"Lane, CMRDM I 199",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-188,"Lane, CMRDM I 200",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-189,"Lane, CMRDM I 201",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-190,"Lane, CMRDM I 202",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-191,"Lane, CMRDM I 203",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-192,"Lane, CMRDM I 204",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-196,"Lane, CMRDM I 208",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-198,"Lane, CMRDM I 210",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-199,"Lane, CMRDM I 211",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-202,"Lane, CMRDM I 214",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-204,"Lane, CMRDM I 216",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-206,"Lane, CMRDM I 218",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-207,"Lane, CMRDM I 219",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-208,"Lane, CMRDM I 220",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-209,"Lane, CMRDM I 221",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-211,"Lane, CMRDM I 223",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-212,"Lane, CMRDM I 224",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-217,"Lane, CMRDM I 229",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-218,"Lane, CMRDM I 230",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-220,"Lane, CMRDM I 232",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-221,"Lane, CMRDM I 233",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-222,"Lane, CMRDM I 234",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-223,"Lane, CMRDM I 235",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-225,"Lane, CMRDM I 237",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-226,"Lane, CMRDM I 238",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-228,"Lane, CMRDM I 240",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-229,"Lane, CMRDM I 241",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-230,"Lane, CMRDM I 242",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-231,"Lane, CMRDM I 243",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-233,"Lane, CMRDM I 245",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-235,"Lane, CMRDM I 247",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-240,"Lane, CMRDM I 252",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-241,"Lane, CMRDM I 253",atto-cultuale,εὐχή,voto,εὐχὴν,,auto
ILA-242,"Lane, CMRDM I 254",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-243,"Lane, CMRDM I 255",atto-cultuale,εὐχή,voto,εὐχή,,auto
ILA-247,"Lane, CMRDM I 259",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-249,"Lane, CMRDM I 262",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-250,"Lane, CMRDM I 263",atto-cultuale,εὐχή,voto,εὐχή,,auto
ILA-251,"Lane, CMRDM I 264",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-252,"Lane, CMRDM I 265",atto-cultuale,εὐχή,voto,εὐχήν,,auto
ILA-253,"Lane, CMRDM I 266",atto-cultuale,εὐχή,voto,εὐχήν,,auto
